t_name,male_14A,male_14B,male_14C,male_14D,female_14A,female_14B,female_14C,female_14D,gene_name
FBtr0076223,4.085304,1.642923,9.472904,22.366276,2.958281,3.024778,7.5284699999999996,15.437393,Ufd1-like
FBtr0301438,5.314945,14.15344,0.0,0.0,0.0,0.0,0.0,8.509086,CG42575
FBtr0332705,1.561952,2.620161,2.602868,0.0,9.633181,2.0482009999999997,0.0,3.378404,CG42575
FBtr0076214,0.390353,0.20213399999999998,0.0,0.0,0.734058,0.0,0.0,0.0,nol
FBtr0076222,0.0,0.0,0.40328800000000004,0.0,0.0,0.0,0.0,0.0,CG32074
FBtr0302875,0.0,0.0,0.359204,0.0,0.0,0.145371,0.406709,0.0,CG14143
FBtr0076216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG32082
FBtr0113422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG32082
FBtr0334096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG32082
FBtr0344833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG32082
FBtr0076221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6216
FBtr0334097,5.118418,9.055053,7.2284619999999995,8.02783,7.968835,8.066333,7.830555,5.607789,CR43989
FBtr0076217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alg10
FBtr0076218,0.0,0.0,1.609703,3.3199370000000004,0.0,3.953327,0.0,0.0,wls
FBtr0076219,90.53038000000001,90.042007,104.629684,87.056,72.416901,86.626366,103.503433,119.47211499999999,wls
FBtr0076161,5.301658,4.6871160000000005,0.0,0.990116,4.597233999999999,4.166411,0.0,1.6863270000000001,CG7616
FBtr0331829,7.607386999999999,10.968548,0.0,1.1134600000000001,5.169939,7.229982000000001,0.0,1.8964029999999998,CG7616
FBtr0300347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14142
FBtr0300348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14142
FBtr0300349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14142
FBtr0076189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GlcAT-P
FBtr0076190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GlcAT-P
FBtr0100422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GlcAT-P
FBtr0306254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GlcAT-P
FBtr0306255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GlcAT-P
FBtr0076187,12.113744,23.153419,24.862612,0.0,0.0,0.0,28.167381,28.183640999999998,Plod
FBtr0076188,1.786042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Plod
FBtr0076163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG7607
FBtr0076164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14141
FBtr0076186,70.32209,61.138495999999996,61.79000500000001,0.0,0.0,79.882896,64.166931,38.806667,Ube3a
FBtr0076165,9.843746000000001,8.800949000000001,10.373433,8.539984,5.489723000000001,1.651502,10.618857,7.826091,CG7600
FBtr0302697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0302698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0304933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0302696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0302699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0330283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0302700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0304934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0339906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0339907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0345849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42671
FBtr0347256,0.588886,0.0,1.115626,0.0,0.0,0.0,1.8245779999999998,0.7340770000000001,CR46050
FBtr0345850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45405
FBtr0076185,0.0,0.0,3.21706,0.0,0.0,0.0,0.0,0.0,Ir68a
FBtr0345037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ir68a
FBtr0342868,1.2278149999999999,1.6899220000000001,3.8675339999999996,2.688789,1.493072,2.2012970000000003,3.4654910000000005,3.487136,CR44718
FBtr0342862,0.347525,0.179957,1.271448,1.090233,0.746877,0.346339,0.0,1.317655,CR44719
FBtr0342867,0.0,0.32992,0.291373,0.0,0.0,0.0,0.164955,0.0,CR44714
FBtr0342863,0.0,0.21183000000000002,0.374162,0.0,0.0,0.0,0.21182199999999998,0.0,CR44713
FBtr0342866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR44715
FBtr0342864,0.038586,0.056447000000000004,0.088234,0.100878,0.0,0.11536500000000001,0.03996,0.062702,CR44717
FBtr0342865,0.264583,0.274015,0.120999,0.276679,0.0,0.26368,0.0,0.143311,CR44716
FBtr0076168,44.392845,70.999756,157.683121,97.832047,91.46788000000001,96.36353299999999,110.959396,91.415421,scyl
FBtr0339908,31.191519,49.886185,12.732919,68.739227,5.160653,67.70742,77.962837,64.230751,scyl
FBtr0342875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR44720
